,Comment,Author,Comment ID,Like Count,Reply Count
0,I SHOULD BE BRAIN DEAD! 😭. I SHOULD BE BRAIN DEAD THIS IS THE REASON WHY I HATE LIVERPOOL! You Know What. I’m Just Gonna Calm Down And Gently Click The Exit Button.,Lewis And Evie’s Fun Time,UgwyXpaFv0vdBWMV-tp4AaABAg,1,0
1,Ha ha Haaland missed an open goal 😄 😆 🤣,David Bourke,UgxGQOWAKDKLspBACwt4AaABAg,0,0
2,We all know mancity is a better team overall,J Shahab,UgxE2c2MRYaQPC9Q-bR4AaABAg,0,0
3,sterlinization,Andi Li,Ugyv8GyLf1A6FL89aT94AaABAg,0,0
4,I love my best team in the world,Ayeen 87,UgwRD2FqeBYOVJn4nEh4AaABAg,1,0
5,"Real Madrid destroyed us in the UCL final and I was really sad, but I am now positive thanks for the FA Cup.",Sergio,UgxrxLerZscLbhTqQZ94AaABAg,0,0
6,But Lukaku was offside,Emmanuel Eze,Ugzu67zQb_9k7DlP_J54AaABAg,0,0
7,"Fan Liverpool
Leave your hand 🤚🤚🤚🤚🤚🤚",OneKick Sports,UgxmjdfmzXqmgHRsGh14AaABAg,0,0
8,comon you reds!!!!!!!!!!!!!!!,JOHNNY VASIOS,Ugyp3sIFra9yfZgBUF94AaABAg,0,0
9,Haaland!!! Haaland!! Haaland... haaland?,윤호두,UgxJWnonavn1wxDsWux4AaABAg,0,0
10,Liverpool minus Sadio Mané is better off...,Mohamed ABDELKADER,Ugyl45PArWfSI2gHoxh4AaABAg,0,0
11,Which stadium is this?,Cyrus fornals,Ugw7BW74VAjNWBMY2zV4AaABAg,0,0
12,"Ohne Zweifel war es für Manchester City fantastisch, Spieler wie Erling Haaland und Julián Alvarez zu kaufen.",MB 1,UgzQTZOTJ7tieQbLMiJ4AaABAg,0,0
13,Too much hype to nunez guys we gonna see him at after games,Fernado Dree,UgwpICBXHIQexdM45ZN4AaABAg,0,0
14,Just one game and some people already say Nunez can replace super sadio 🤣…this season just started we gonna know and see how sadio was important !,Emile Moreira,UgyM7DyH2r2TrxgcfCt4AaABAg,0,0
15,Liverpool4live,Thomas Büttiker,UgwJVo1mbR562UuoGJd4AaABAg,1,0
16,Welcome to England Haaland. This is just the beginning...,Terungwa Tivfa,Ugzj3t8aK-sJAK3iTqJ4AaABAg,0,0
17,I have a feeling that the sale of Rahim Sterling could turn out to be problematic for Man City.  It is just a feeling.  Not a fact.  I could be proven wrong at the end of the season.  LOL,Franc Mittelo,UgyJADpakxQ0JN_MAnd4AaABAg,0,0
18,Perfect👍👍🏅🏆,Finka Fajriya,UgzmRrQhFLl1BTB_vhp4AaABAg,0,0
19,Nunez with the Strikers Goal.. What a Brilliant Headed Goal🥰🔥,samira love,Ugyw2slo8kLWOVsMcL14AaABAg,1,0
20,Never a pen for city first. total pantomime ref. joke,Sean Joseph Maher,UgyZ1BUANi99vmgKmJx4AaABAg,0,0
21,come here fifa lovers and watch best goals,Game Lovers,Ugz5KYQ2BN_HlHGEl_d4AaABAg,0,0
22,mantap puollls,AGUS BENGKEL NGUPIT (ABENG),UgyZf1Hrav2oqMmd5PF4AaABAg,0,0
23,Adrian could do better to catch that easy ball.,Andika DR,UgwKMkRn2NQUyeGd6w14AaABAg,0,0
24,Halan amati,mario irawan,UgxwC3Yigd8COsSqpTR4AaABAg,0,0
25,Beautiful build up from 3:28,Tommy,Ugw6mCQ9fZ7aBpi66TR4AaABAg,0,0
26,Erling Memeland,Tommy,UgytrgSK6GhBhUFHSg54AaABAg,0,0
27,Watch Van dyk..Terrible walking about in defence ..Haland could of had a few another time..He just didn't pick up ANYBODY,Mack Daddy,Ugy-LBQR1TbJ_nR9V854AaABAg,0,0
28,Halland a player joke...🤣🤔👇😯🧐😂,daniel petre,UgwE0S6y104iU3BEeGF4AaABAg,0,0
29,"2:55 trent stopping to play to look at the referee allowed alvarez to score, he has to be more focus it’s crazy",Fekinho,UgyAUtX13b5exRPa8Eh4AaABAg,2,0
30,Halland....🤭😂😜!!! You are so funny...welcome to England,Sonny Oson,UgxanGbo8pUCUufpytV4AaABAg,0,0
31,صلوا على النبي,Ahmed h,Ugz2e5pjoVlWO-Di1lt4AaABAg,0,0
32,great match to watch. also i can confirm var got both calls correct.,Thelittleowl1,UgxqtJ0uWuDfU-XEQMJ4AaABAg,0,0
33,Dias actually dropped a big stinker,Faith Adeyemi,Ugwu1CbUTc_2tTMWULl4AaABAg,0,0
34,💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩🤬🤬🤬🤬🤬🤬🤬💩💩💩💩💩💩💩😫😫😫👿,Gav McDermott,UgzDSGjxNYQnuYVQBUB4AaABAg,0,0
35,I love how Trent shushes the haters,Liveable,UgwpusjejczTjB1LzZh4AaABAg,1,0
36,Congrats the reds,oraebeke simon,UgzfY4yV5mPTIAUb6dl4AaABAg,0,0
37,Even they lose but... I can say that haaland have one of the best body balance. He will be a beast in PL just like Brock Lesnar in WWE,KODE NUKLIR,UgxjZSAAR9r1mfQcZX94AaABAg,0,0
38,Thiago oh no🥵🔥,Simbonge Zondi,UgzVQhhy2eJyhU7Kv694AaABAg,0,0
39,City goal was foul on Adrian he literally had the ball in his hands and foden kicked off it,Alesto the Almond,UgwIcIIndfwd0lIE_tF4AaABAg,3,0
40,ternyata halland tdk semengerikan itu di depan gawang EPL,Doni Krisdiyanto,Ugx2LkfeLOKJXpPd9NF4AaABAg,0,0
41,gắp đủ kèo cho ae luôn,Hoàng Kèo Bóng,Ugy1AHLSs1QNvxhrWFl4AaABAg,1,0
42,"No one worried how Lethal Haaland looked. Offt, his positioning looked scary. he should have had 3.",Robbie Beenham,Ugww9KcwnsZAf6tnzdx4AaABAg,0,0
43,Liverpool Champions,Richard Vincent,UgxduO8sM91ZDKYj1rt4AaABAg,0,0
44,Haaland: master of his own hype. No surprise he’s best pals already with Grealish-another member of the self-appreciation club 🤣,Matthew Appleby,UgxFKdjcXX3OCzjP-k14AaABAg,0,0
45,Man city be like here its alright we will take premier league again lol,paul,UgyGFhJxfklZciY2CoJ4AaABAg,0,0
46,"We lost Mane bat we hape Nunes, salut prom Indonesia fanes",Wendy Maria,UgybKCHUiISdFRvUjlB4AaABAg,0,0
47,wonder,ramadhani kibaya,Ugx_liLPFFsf_LXLw3V4AaABAg,0,0
48,“ How he miss that” 🤣,Tolo G,UgwVVxsgfWf8EU2KPhF4AaABAg,2,0
49,"Nunez👍
Haland👎",Febri Yunan,UgxBCmaJ434V9t4hljx4AaABAg,0,0
50,Nunez 😍😍😍😋,Febri Yunan,UgxJWDSUINPKqtXzLvh4AaABAg,0,0
51,One thing Henderson knows how to do best is lift trophies,Adebayo Glover,Ugz6FwECpVbWbnL-get4AaABAg,0,0
52,Haeland hanya jadi beban 😜😜🤭🤭,Syaifuddin 14,UgxuLjMliYhTc0m710F4AaABAg,0,0
53,It's not a glorified friendly now Liverpool have won it 🥱🥱,NYTG,UgwQRzq0eswXGFiGTtF4AaABAg,0,0
54,3 . 0,Sharmake Abees,UgwPwIkDl4-FYL3_XN54AaABAg,0,0
55,Its still early season..but YNWA team played really well from sttikers to Adrian.Looks like Salah n new partner Nunez with Arnold combined well for this match.I beleive Liverpool can improve further esp.defence but that can b forgiven coz Man City is England champion. fan malaysia,Anwar Latip,UgxXuCqrT_o8eKrjIgZ4AaABAg,0,0
56,Everyone put big expectations on Nunez and Haaland 🤭🤭🤭,Jusuf Kurniawan,UgxbRgU3HaNHGkgTNSR4AaABAg,0,0
57,Because of the economic crisis that always comes up the best thing to be on every wise individual’s mind or list is to invest in different streams of income that’s not depending on the government to generate funds.,Sa b 🇪🇸,UgyjTVnpUGnso1Qo5P14AaABAg,19,26
58,00:55 - you just can't give Trent this much space and time.,Yonas Campbell,Ugzu4A4BcXOgJb0x6R14AaABAg,2,0
59,we never walk alone.LIVERPOOL FC,peris kavindu,Ugy7DY6qh0yMNj87rmJ4AaABAg,1,0
60,YNWA,oreg tempe,UgwO8mcm3iqWyIlDAH54AaABAg,0,0
61,Never give up......we go again💙💙💙💙,Thanzuala Khawlhring,UgzOerYuV7bgkeT9_oR4AaABAg,0,0
62,"Friendly match😂
Man united 21 > LiVARpool 16😢 
Wait for 16 years to win this friendly match again🤣🤣🤣",Book,UgwEwd5ZpldLsaXkE3Z4AaABAg,0,0
63,6x11=66,Sizwe Vuyani,Ugyt3-rbZtHTI949GAl4AaABAg,0,0
64,"Liverpool have already made their statement bt expect city to come out stronger, and city cannot afford to sell bernardo silva to Barcelona,that will be their end",SAMMY OMARI,UgxneZ1YrJmHLb8JyPV4AaABAg,0,0
65,Fans Liverpool from Indonesia 🇮🇩,Faiz Fara,Ugw-8XfIhTK7Z5FMB8B4AaABAg,0,0
66,It's no bangkok centenary cup... but it will have to do.,Benjamin V,UgyNqd_b7iU9JVyHOXN4AaABAg,0,0
67,Mad city made a mistake signing haland,Kerron Hannah,UgzYXTXqN9Q7HxYhvKx4AaABAg,0,0
68,Haaland's 400k a week in the toilet then,ZAPNEP,UgwGxzwEdqtSXR7YIbN4AaABAg,0,0
69,Unreal how Matip’s blatant hand ball isn’t included in the highlights…,Ball Winning Midfielder,Ugw_Uujwuf4P8AL6DFJ4AaABAg,0,0
70,Funny how when Liverpool win this trophy it’s massive but when arsenal do “it’s just preseason”,U lied about the soup!,Ugx-qpCq5wW-Iht78Lt4AaABAg,0,0
71,The league is not ready for bearded Milner,Neil Shinde,UgxVY5GF8VJnA7xdG2t4AaABAg,1,0
72,TIMO HALLAND!!!!,PlayMoreGuitar,UgwPl30bqpWzxOFFmjl4AaABAg,0,0
73,HAALAND 😂😂😂😂😂😂,Moaaz Hamad,UgzLl6kNe_xhxk1pLoJ4AaABAg,0,0
74,You're all idiots if you think this will effect Haaland's scoring ability. Golden boot next season.,KeNsHiRo MuRuGi,UgzOaG5uxOadaGqpxXZ4AaABAg,0,0
75,Haaland did a sterling 2.0 😂😁,JOSEPH SAKALA LV,UgzbUkP-o2OlXNLJell4AaABAg,3,0
76,"""But city need a striker, city need a striker"" Yeah right.",Neil Shinde,UgwWa-3KNi0D02sYkxR4AaABAg,0,0
77,Pep out. But Halland showed hia future prospect of becoming a killer striker.....,I Putu Myartawan,Ugx9FbvaLUKC9PgWVeN4AaABAg,0,0
78,Stefan Ortega should be on like Adrain he should win the community shield,Joe08Grealish,UgwbeLyHr1N21iUaqWd4AaABAg,0,0
79,absolutely love that Haaland just smiled the last one off,Brandon Butler,UgwNnv3QVsKpnZv9sDl4AaABAg,11,1
80,"Salah literally touched every ball before it went in the goal.  If you know, you know 🤴🏽

The GOAT 🤴🏽",Blessed 🤲🏼,Ugz-YNnvj5Dfh8PzLzN4AaABAg,21,0
81,i❤️madrid,Yulios Wetik,Ugxjqeo4cFn9uaDdF514AaABAg,0,0
82,people are saying a lot about haland missing a tap in and i promise you it’s really not that easy,ApleLab,UgzD6x7XyjdnJG6j8Xx4AaABAg,0,0
